        2000           2
      0    0
      2.   1.
    -0.2477741487796333E+01 -0.1963228295925442E+00
     0.3827695701349945E+00  0.1451078769857977E+01
  0.1250750930257133E-03  0.1157807148491077E-02  0.1808909401924948E-03
  0.1262390749476853E-03  0.1168577927770892E-02  0.1825737216115425E-03
  0.1274138891935190E-03  0.1179448866487340E-02  0.1842721515204124E-03
  0.1285996365716874E-03  0.1190420895324601E-02  0.1859863753252700E-03
  0.1297964188288139E-03  0.1201494953601400E-02  0.1877165397813038E-03
  0.1310043386584030E-03  0.1212671989350853E-02  0.1894627930052025E-03
  0.1322234997096519E-03  0.1223952959401070E-02  0.1912252844877461E-03
  0.1334540065963450E-03  0.1235338829456478E-02  0.1930041651065119E-03
  0.1346959649058299E-03  0.1246830574179902E-02  0.1947995871386995E-03
  0.1359494812080783E-03  0.1258429177275402E-02  0.1966117042740712E-03
  0.1372146630648302E-03  0.1270135631571862E-02  0.1984406716280131E-03
