        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   4.
    -0.9200445017595858E+02 -0.9004289528984057E+01 -0.6682508843107740E+01 -0.8795273151555941E+00 -0.4373686643534324E+00
     0.5600758007790212E+00  0.3388930454725214E+01  0.4663200910201464E+01  0.8154460311340365E+01  0.9934165407339286E+01
  0.4304956809384469E-05  0.5357761867493900E-03  0.1479857232885487E-03  0.2379456593481229E-08  0.4295654368466290E-04  0.6058163969314611E-09
  0.4345019876936727E-05  0.5407619151255321E-03  0.1493628218557806E-03  0.2423949598914281E-08  0.4335628085823276E-04  0.6171444422983740E-09
  0.4385455781999967E-05  0.5457940355281147E-03  0.1507527342765019E-03  0.2469274563212689E-08  0.4375973757207148E-04  0.6286843067518611E-09
  0.4426267994298753E-05  0.5508729795724241E-03  0.1521555797663497E-03  0.2515447042671492E-08  0.4416694843148827E-04  0.6404399509687567E-09
  0.4467460015847824E-05  0.5559991828882056E-03  0.1535714786497874E-03  0.2562482884457616E-08  0.4457794836365681E-04  0.6524154096827033E-09
  0.4509035381252596E-05  0.5611730851569824E-03  0.1550005523704119E-03  0.2610398232048445E-08  0.4499277262060723E-04  0.6646147930688254E-09
  0.4550997658012458E-05  0.5663951301497186E-03  0.1564429235013569E-03  0.2659209530772065E-08  0.4541145678224579E-04  0.6770422881542929E-09
  0.4593350446826891E-05  0.5716657657648327E-03  0.1578987157557925E-03  0.2708933533451093E-08  0.4583403675940276E-04  0.6897021602552549E-09
  0.4636097381904442E-05  0.5769854440665644E-03  0.1593680539975222E-03  0.2759587306152027E-08  0.4626054879690842E-04  0.7025987544406411E-09
  0.4679242131274562E-05  0.5823546213236970E-03  0.1608510642516786E-03  0.2811188234042087E-08  0.4669102947669768E-04  0.7157364970233302E-09
  0.4722788397102355E-05  0.5877737580486395E-03  0.1623478737155177E-03  0.2863754027355563E-08  0.4712551572094360E-04  0.7291198970791982E-09
  0.4766739916006254E-05  0.5932433190368709E-03  0.1638586107693145E-03  0.2917302727471705E-08  0.4756404479521992E-04  0.7427535479945680E-09
  0.4811100459378652E-05  0.5987637734067531E-03  0.1653834049873588E-03  0.2971852713106260E-08  0.4800665431169293E-04  0.7566421290425898E-09
  0.4855873833709519E-05  0.6043355946397098E-03  0.1669223871490538E-03  0.3027422706618751E-08  0.4845338223234305E-04  0.7707904069890957E-09
  0.4901063880913026E-05  0.6099592606207809E-03  0.1684756892501168E-03  0.3084031780437699E-08  0.4890426687221628E-04  0.7852032377284760E-09
  0.4946674478657217E-05  0.6156352536795536E-03  0.1700434445138852E-03  0.3141699363605960E-08  0.4935934690270585E-04  0.7998855679501426E-09
  0.4992709540696738E-05  0.6213640606314710E-03  0.1716257874027257E-03  0.3200445248448439E-08  0.4981866135486425E-04  0.8148424368361465E-09
  0.5039173017208674E-05  0.6271461728195268E-03  0.1732228536295517E-03  0.3260289597364470E-08  0.5028224962274613E-04  0.8300789777905389E-09
  0.5086068895131503E-05  0.6329820861563461E-03  0.1748347801694452E-03  0.3321252949747182E-08  0.5075015146678216E-04  0.8456004202010600E-09
  0.5133401198507207E-05  0.6388723011666559E-03  0.1764617052713883E-03  0.3383356229032235E-08  0.5122240701718424E-04  0.8614120912337674E-09
  0.5181173988826569E-05  0.6448173230301515E-03  0.1781037684701030E-03  0.3446620749878341E-08  0.5169905677738221E-04  0.8775194176612173E-09
  0.5229391365377679E-05  0.6508176616247586E-03  0.1797611105980006E-03  0.3511068225482035E-08  0.5218014162749264E-04  0.8939279277248256E-09
