376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
7.965576e-01 -6.802042e-07 -2.903269e-02 -1.313710e+00 -2.647871e-02 -2.657266e-02 -1.301345e+00 -3.814675e-02 -1.191363e+00
8.001706e-01  2.275255e-07 -2.794088e-02 -1.298429e+00 -3.354098e-02 -2.561319e-02 -1.287589e+00 -3.364349e-02 -1.181457e+00
8.030926e-01  9.120084e-07 -2.708800e-02 -1.286170e+00 -3.920254e-02 -2.486271e-02 -1.276548e+00 -3.002839e-02 -1.173506e+00
8.054110e-01  1.266096e-06 -2.642993e-02 -1.276507e+00 -4.366278e-02 -2.428301e-02 -1.267841e+00 -2.717717e-02 -1.167236e+00
8.072115e-01  1.318083e-06 -2.593000e-02 -1.269041e+00 -4.710713e-02 -2.384222e-02 -1.261112e+00 -2.497337e-02 -1.162390e+00
8.085761e-01  1.165314e-06 -2.555748e-02 -1.263405e+00 -4.970633e-02 -2.351352e-02 -1.256031e+00 -2.330918e-02 -1.158730e+00
8.095818e-01  9.154645e-07 -2.528640e-02 -1.259264e+00 -5.161572e-02 -2.327420e-02 -1.252297e+00 -2.208600e-02 -1.156041e+00
8.102992e-01  6.524478e-07 -2.509481e-02 -1.256316e+00 -5.297463e-02 -2.310497e-02 -1.249639e+00 -2.121514e-02 -1.154126e+00
8.107917e-01  4.259106e-07 -2.496415e-02 -1.254295e+00 -5.390582e-02 -2.298953e-02 -1.247817e+00 -2.061821e-02 -1.152813e+00
8.111144e-01  2.555103e-07 -2.487893e-02 -1.252973e+00 -5.451524e-02 -2.291422e-02 -1.246624e+00 -2.022748e-02 -1.151954e+00
8.113140e-01  1.409384e-07 -2.482636e-02 -1.252156e+00 -5.489194e-02 -2.286775e-02 -1.245887e+00 -1.998594e-02 -1.151423e+00
8.114287e-01  7.178909e-08 -2.479619e-02 -1.251686e+00 -5.510844e-02 -2.284108e-02 -1.245463e+00 -1.984711e-02 -1.151118e+00
8.114887e-01  3.471699e-08 -2.478045e-02 -1.251440e+00 -5.522145e-02 -2.282717e-02 -1.245242e+00 -1.977464e-02 -1.150958e+00
8.115160e-01  1.755474e-08 -2.477326e-02 -1.251328e+00 -5.527308e-02 -2.282082e-02 -1.245141e+00 -1.974153e-02 -1.150885e+00
8.115263e-01  1.108023e-08 -2.477056e-02 -1.251286e+00 -5.529244e-02 -2.281843e-02 -1.245103e+00 -1.972911e-02 -1.150858e+00
