376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
9.059447e+00  1.332690e-12 -4.258538e-07 -4.460076e-05
9.172998e+00  1.066369e-12 -3.515017e-07 -3.953506e-05
9.273910e+00  2.174587e-13 -2.956927e-07 -3.552326e-05
9.362642e+00 -6.901035e-13 -2.534465e-07 -3.233700e-05
9.439784e+00 -1.212863e-12 -2.215257e-07 -2.980259e-05
9.506039e+00 -1.186165e-12 -1.975850e-07 -2.778680e-05
9.562202e+00 -7.188834e-13 -1.797405e-07 -2.618646e-05
9.609136e+00 -6.137788e-14 -1.664342e-07 -2.492086e-05
9.647752e+00  5.413525e-13 -1.564284e-07 -2.392612e-05
9.678982e+00  9.386676e-13 -1.488088e-07 -2.315106e-05
9.703762e+00  1.091343e-12 -1.429469e-07 -2.255418e-05
9.723005e+00  1.040960e-12 -1.384301e-07 -2.210136e-05
9.737589e+00  8.647799e-13 -1.349837e-07 -2.176427e-05
9.748339e+00  6.391885e-13 -1.324094e-07 -2.151914e-05
9.756007e+00  4.201350e-13 -1.305458e-07 -2.134596e-05
9.761270e+00  2.385809e-13 -1.292499e-07 -2.122789e-05
9.764719e+00  1.048287e-13 -1.283925e-07 -2.115089e-05
9.766852e+00  1.594614e-14 -1.278584e-07 -2.110340e-05
9.768079e+00 -3.734823e-14 -1.275500e-07 -2.107614e-05
9.768719e+00 -6.582065e-14 -1.273886e-07 -2.106192e-05
9.769012e+00 -7.897926e-14 -1.273147e-07 -2.105543e-05
9.769122e+00 -8.393978e-14 -1.272870e-07 -2.105300e-05
9.769151e+00 -8.529145e-14 -1.272794e-07 -2.105233e-05
9.769156e+00 -8.549104e-14 -1.272783e-07 -2.105224e-05
9.769157e+00 -8.549731e-14 -1.272782e-07 -2.105222e-05
9.769176e+00 -8.549161e-14 -1.272741e-07 -2.105180e-05
9.769305e+00 -8.545298e-14 -1.272468e-07 -2.104893e-05
9.769782e+00 -8.531110e-14 -1.271464e-07 -2.103838e-05
9.771053e+00 -8.493370e-14 -1.268792e-07 -2.101029e-05
9.773833e+00 -8.411182e-14 -1.262963e-07 -2.094895e-05
9.779159e+00 -8.255325e-14 -1.251869e-07 -2.083196e-05
9.788423e+00 -7.989064e-14 -1.232794e-07 -2.063005e-05
9.803397e+00 -7.571307e-14 -1.202536e-07 -2.030777e-05
9.826253e+00 -6.963028e-14 -1.157707e-07 -1.982560e-05
9.859551e+00 -6.137482e-14 -1.095221e-07 -1.914361e-05
9.906227e+00 -5.093589e-14 -1.013001e-07 -1.822706e-05
9.969557e+00 -3.869852e-14 -9.107889e-08 -1.705349e-05
1.005312e+01 -2.553630e-14 -7.909148e-08 -1.562039e-05
1.016071e+01 -1.278690e-14 -6.587078e-08 -1.395187e-05
1.029632e+01 -2.046250e-15 -5.222541e-08 -1.210196e-05
1.046400e+01  5.230753e-15 -3.912828e-08 -1.015247e-05
1.066781e+01  8.236294e-15 -2.752602e-08 -8.204153e-06
1.091168e+01  7.224247e-15 -1.811752e-08 -6.362031e-06
1.119938e+01  3.585203e-15 -1.118241e-08 -4.718038e-06
1.153435e+01 -5.765442e-16 -6.539972e-09 -3.335837e-06
1.191965e+01 -3.279139e-15 -3.670682e-09 -2.242507e-06
1.235784e+01 -3.538391e-15 -1.951303e-09 -1.429474e-06
