376 3
 0 0 1
 2 2 2
 -9.884111e+00 -4.573827e-01 -1.579523e-01
2.772369e+00 -2.105413e-05 -1.243023e-01 -1.485518e-01
2.781321e+00 -2.017660e-05 -1.230288e-01 -1.474354e-01
2.788424e+00 -1.950631e-05 -1.220276e-01 -1.465560e-01
2.793940e+00 -1.900087e-05 -1.212558e-01 -1.458770e-01
2.798121e+00 -1.862623e-05 -1.206740e-01 -1.453645e-01
2.801202e+00 -1.835462e-05 -1.202470e-01 -1.449881e-01
2.803400e+00 -1.816313e-05 -1.199433e-01 -1.447202e-01
2.804909e+00 -1.803277e-05 -1.197353e-01 -1.445366e-01
2.805897e+00 -1.794782e-05 -1.195993e-01 -1.444165e-01
2.806509e+00 -1.789546e-05 -1.195152e-01 -1.443422e-01
2.806861e+00 -1.786541e-05 -1.194668e-01 -1.442996e-01
2.807044e+00 -1.784974e-05 -1.194416e-01 -1.442773e-01
2.807128e+00 -1.784259e-05 -1.194301e-01 -1.442671e-01
2.807159e+00 -1.783990e-05 -1.194258e-01 -1.442633e-01
2.807168e+00 -1.783918e-05 -1.194246e-01 -1.442622e-01
2.807169e+00 -1.783907e-05 -1.194244e-01 -1.442621e-01
2.807169e+00 -1.783905e-05 -1.194244e-01 -1.442621e-01
2.807174e+00 -1.783868e-05 -1.194238e-01 -1.442615e-01
2.807204e+00 -1.783615e-05 -1.194197e-01 -1.442579e-01
2.807313e+00 -1.782685e-05 -1.194046e-01 -1.442446e-01
2.807606e+00 -1.780210e-05 -1.193644e-01 -1.442091e-01
2.808246e+00 -1.774805e-05 -1.192765e-01 -1.441314e-01
2.809473e+00 -1.764498e-05 -1.191083e-01 -1.439828e-01
2.811606e+00 -1.746712e-05 -1.188164e-01 -1.437248e-01
2.815055e+00 -1.718336e-05 -1.183459e-01 -1.433086e-01
2.820318e+00 -1.675906e-05 -1.176315e-01 -1.426759e-01
2.827987e+00 -1.615948e-05 -1.165984e-01 -1.417595e-01
2.838736e+00 -1.535476e-05 -1.151655e-01 -1.404856e-01
2.853321e+00 -1.432630e-05 -1.132494e-01 -1.387766e-01
2.872564e+00 -1.307363e-05 -1.107701e-01 -1.365558e-01
2.897343e+00 -1.162022e-05 -1.076575e-01 -1.337519e-01
2.928573e+00 -1.001620e-05 -1.038591e-01 -1.303056e-01
2.967189e+00 -8.335989e-06 -9.934787e-02 -1.261752e-01
3.014123e+00 -6.669773e-06 -9.412895e-02 -1.213428e-01
3.070287e+00 -5.109824e-06 -8.824488e-02 -1.158190e-01
3.136542e+00 -3.734624e-06 -8.177762e-02 -1.096464e-01
3.213683e+00 -2.595505e-06 -7.484688e-02 -1.028995e-01
3.302415e+00 -1.710123e-06 -6.760421e-02 -9.568318e-02
3.403327e+00 -1.064752e-06 -6.022316e-02 -8.812728e-02
3.516879e+00 -6.237677e-07 -5.288649e-02 -8.037895e-02
3.643378e+00 -3.419277e-07 -4.577205e-02 -7.259329e-02
3.782971e+00 -1.746609e-07 -3.903927e-02 -6.492336e-02
3.935625e+00 -8.382412e-08 -3.281801e-02 -5.751063e-02
4.101127e+00 -3.943165e-08 -2.720136e-02 -5.047697e-02
4.279073e+00 -1.956694e-08 -2.224279e-02 -4.391905e-02
4.468875e+00 -1.008794e-08 -1.795777e-02 -3.790540e-02
4.669759e+00 -4.031554e-09 -1.432882e-02 -3.247613e-02
4.880776e+00  2.034029e-10 -1.131292e-02 -2.764498e-02
5.100813e+00  1.927517e-09 -8.849671e-03 -2.340300e-02
5.328610e+00  1.051228e-09 -6.869297e-03 -1.972321e-02
5.562778e+00 -8.956698e-10 -5.299391e-03 -1.656567e-02
5.801821e+00 -1.870137e-09 -4.070090e-03 -1.388222e-02
6.044160e+00 -1.051044e-09 -3.117523e-03 -1.162065e-02
6.288163e+00  6.163230e-10 -2.385730e-03 -9.728173e-03
6.532165e+00  1.516969e-09 -1.827340e-03 -8.153857e-03
6.774505e+00  9.285890e-10 -1.403374e-03 -6.850401e-03
7.013547e+00 -4.368169e-10 -1.082509e-03 -5.775119e-03
7.247715e+00 -1.264212e-09 -8.400571e-04 -4.890382e-03
7.475513e+00 -8.864044e-10 -6.568638e-04 -4.163653e-03
7.695550e+00  2.266838e-10 -5.182588e-04 -3.567233e-03
7.906566e+00  1.042164e-09 -4.131174e-04 -3.077841e-03
8.107450e+00  9.186344e-10 -3.330697e-04 -2.676119e-03
8.297252e+00  6.623854e-11 -2.718532e-04 -2.346097e-03
8.475199e+00 -7.653749e-10 -2.247996e-04 -2.074692e-03
8.640700e+00 -9.577050e-10 -1.884343e-04 -1.851232e-03
8.793354e+00 -4.539436e-10 -1.601710e-04 -1.667046e-03
8.932947e+00  3.133592e-10 -1.380824e-04 -1.515099e-03
9.059447e+00  8.169395e-10 -1.207284e-04 -1.389691e-03
9.172998e+00  7.927221e-10 -1.070301e-04 -1.286198e-03
9.273910e+00  3.359216e-10 -9.617584e-05 -1.200865e-03
9.362642e+00 -2.451601e-10 -8.755145e-05 -1.130634e-03
9.439784e+00 -6.518630e-10 -8.068920e-05 -1.073002e-03
9.506039e+00 -7.415005e-10 -7.522984e-05 -1.025909e-03
9.562202e+00 -5.455596e-10 -7.089488e-05 -9.876501e-04
9.609136e+00 -1.987006e-10 -6.746618e-05 -9.568003e-04
9.647752e+00  1.517531e-10 -6.477100e-05 -9.321593e-04
9.678982e+00  4.061384e-10 -6.267086e-05 -9.127069e-04
9.703762e+00  5.292381e-10 -6.105339e-05 -8.975689e-04
9.723005e+00  5.359582e-10 -5.982625e-05 -8.859902e-04
9.737589e+00  4.657902e-10 -5.891267e-05 -8.773165e-04
9.748339e+00  3.608123e-10 -5.824829e-05 -8.709795e-04
9.756007e+00  2.532009e-10 -5.777890e-05 -8.664874e-04
9.761270e+00  1.616400e-10 -5.745889e-05 -8.634177e-04
9.764719e+00  9.321434e-11 -5.725018e-05 -8.614126e-04
9.766852e+00  4.737366e-11 -5.712145e-05 -8.601746e-04
9.768079e+00  1.976253e-11 -5.704757e-05 -8.594636e-04
9.768719e+00  4.975597e-12 -5.700903e-05 -8.590926e-04
9.769012e+00 -1.866317e-12 -5.699143e-05 -8.589232e-04
9.769122e+00 -4.446876e-12 -5.698483e-05 -8.588596e-04
9.769151e+00 -5.150167e-12 -5.698303e-05 -8.588423e-04
9.769156e+00 -5.254019e-12 -5.698277e-05 -8.588398e-04
9.769157e+00 -5.257368e-12 -5.698272e-05 -8.588394e-04
9.769176e+00 -5.257055e-12 -5.698157e-05 -8.588283e-04
9.769305e+00 -5.254935e-12 -5.697379e-05 -8.587532e-04
9.769782e+00 -5.247149e-12 -5.694520e-05 -8.584773e-04
9.771053e+00 -5.226436e-12 -5.686906e-05 -8.577423e-04
9.773833e+00 -5.181319e-12 -5.670278e-05 -8.561361e-04
9.779159e+00 -5.095728e-12 -5.638565e-05 -8.530682e-04
9.788423e+00 -4.949400e-12 -5.583832e-05 -8.477592e-04
9.803397e+00 -4.719529e-12 -5.496470e-05 -8.392480e-04
9.826253e+00 -4.384150e-12 -5.365760e-05 -8.264257e-04
9.859551e+00 -3.927542e-12 -5.180880e-05 -8.081031e-04
9.906227e+00 -3.347348e-12 -4.932406e-05 -7.831165e-04
9.969557e+00 -2.662046e-12 -4.614242e-05 -7.504720e-04
1.005312e+01 -1.916093e-12 -4.225704e-05 -7.095183e-04
1.016071e+01 -1.179057e-12 -3.773325e-05 -6.601269e-04
1.029632e+01 -5.353507e-13 -3.271765e-05 -6.028440e-04
1.046400e+01 -6.386236e-14 -2.743230e-05 -5.389747e-04
1.066781e+01  1.881754e-13 -2.215088e-05 -4.705574e-04
1.091168e+01  2.269769e-13 -1.715888e-05 -4.002084e-04
1.119938e+01  1.169578e-13 -1.270633e-05 -3.308428e-04
1.153435e+01 -3.971424e-14 -8.966381e-06 -2.653165e-04
1.191965e+01 -1.445791e-13 -6.012479e-06 -2.060618e-04
1.235784e+01 -1.465279e-13 -3.820654e-06 -1.547982e-04
1.285091e+01 -6.235364e-14 -2.293853e-06 -1.123808e-04
1.340020e+01  4.102884e-14 -1.296991e-06 -7.881207e-05
1.400635e+01  9.406043e-14 -6.894036e-07 -5.339368e-05
1.466922e+01  7.099005e-14 -3.461935e-07 -3.496394e-05
1.538787e+01  2.872414e-15 -1.676459e-07 -2.215318e-05
1.616056e+01 -5.159784e-14 -8.100856e-08 -1.360152e-05
1.698474e+01 -5.355169e-14 -3.897630e-08 -8.107512e-06
1.785703e+01 -1.144401e-14 -1.616974e-08 -4.701899e-06
1.877332e+01  3.221942e-14 -3.000135e-09 -2.659653e-06
1.972878e+01  4.060447e-14  2.464658e-09 -1.472011e-06
2.071794e+01  1.270098e-14  1.607361e-09 -8.005780e-07
2.173476e+01 -2.104091e-14 -1.882450e-09 -4.301358e-07
2.277275e+01 -2.989798e-14 -3.706299e-09 -2.292593e-07
2.382505e+01 -1.006278e-14 -2.114102e-09 -1.211402e-07
2.488458e+01  1.595602e-14  1.131802e-09 -6.310330e-08
2.594410e+01  2.347696e-14  2.919386e-09 -3.243476e-08
2.699641e+01  8.246247e-15  1.830894e-09 -1.696481e-08
2.803440e+01 -1.271890e-14 -7.882387e-10 -9.604082e-09
2.905122e+01 -1.954953e-14 -2.411130e-09 -5.942933e-09
3.004038e+01 -7.699295e-15 -1.731586e-09 -3.553422e-09
3.099584e+01  1.024444e-14  3.811617e-10 -1.634465e-09
3.191213e+01  1.798208e-14  1.962210e-09 -3.307211e-10
3.278442e+01  9.931980e-15  1.769697e-09  1.107860e-10
3.360859e+01 -5.728621e-15  1.751353e-10 -1.506911e-10
3.438128e+01 -1.577986e-14 -1.412235e-09 -6.016313e-10
3.509994e+01 -1.309725e-14 -1.811503e-09 -7.600943e-10
3.576280e+01 -1.022583e-15 -8.933107e-10 -4.869391e-10
3.636895e+01  1.084173e-14  5.433939e-10  7.888827e-12
3.691825e+01  1.438288e-14  1.507783e-09  3.957978e-10
3.741132e+01  8.021989e-15  1.492602e-09  4.744220e-10
3.784951e+01 -3.591467e-15  6.621921e-10  2.618269e-10
3.823481e+01 -1.357078e-14 -4.150146e-10 -7.152353e-11
3.856978e+01 -1.700196e-14 -1.181321e-09 -3.375496e-10
3.885747e+01 -1.291723e-14 -1.365199e-09 -4.307797e-10
3.910135e+01 -3.707330e-15 -1.018649e-09 -3.516152e-10
3.930515e+01  6.844431e-15 -3.874143e-10 -1.700658e-10
3.947283e+01  1.546756e-14  2.566120e-10  2.822934e-11
3.960844e+01  2.041801e-14  7.279718e-10  1.810250e-10
3.971604e+01  2.152949e-14  9.597371e-10  2.627590e-10
3.979960e+01  1.968453e-14  9.777512e-10  2.781494e-10
3.986293e+01  1.615573e-14  8.537503e-10  2.478354e-10
3.990960e+01  1.210820e-14  6.647541e-10  1.952947e-10
3.994290e+01  8.354136e-15  4.698955e-10  1.390775e-10
3.996576e+01  5.316126e-15  3.036557e-10  9.029473e-11
3.998073e+01  3.108034e-15  1.792428e-10  5.345356e-11
3.999000e+01  1.652087e-15  9.582753e-11  2.862690e-11
3.999532e+01  7.829444e-16  4.556175e-11  1.362405e-11
3.999810e+01  3.197065e-16  1.863593e-11  5.575384e-12
3.999937e+01  1.058690e-16  6.175900e-12  1.848090e-12
3.999985e+01  2.529699e-17  1.476130e-12  4.417580e-13
3.999998e+01  3.345962e-18  1.952587e-13  5.843598e-14
4.000000e+01  1.048219e-19  6.117113e-15  1.830703e-15
