376 7
 0 0 0 0 1 1 2
 2 2 2 2 6 6 3
6.175159e-01 -3.527526e-04 -8.426123e-01 -1.494060e+00  3.942951e-01 -7.294473e-01 -1.418553e+00 -1.186306e+00
6.372593e-01 -2.350402e-04 -7.360242e-01 -1.515364e+00  3.936900e-01 -6.403813e-01 -1.428796e+00 -1.168922e+00
6.560547e-01 -1.594086e-04 -6.467581e-01 -1.526745e+00  3.904981e-01 -5.655916e-01 -1.432260e+00 -1.151567e+00
6.738132e-01 -1.094824e-04 -5.721372e-01 -1.530445e+00  3.854144e-01 -5.028828e-01 -1.430560e+00 -1.134566e+00
6.904625e-01 -7.623012e-05 -5.098394e-01 -1.528400e+00  3.790373e-01 -4.503595e-01 -1.425083e+00 -1.118185e+00
7.059474e-01 -5.447094e-05 -4.578774e-01 -1.522243e+00  3.718684e-01 -4.064030e-01 -1.416994e+00 -1.102631e+00
7.202302e-01 -4.062888e-05 -4.145680e-01 -1.513324e+00  3.643179e-01 -3.696428e-01 -1.407250e+00 -1.088063e+00
7.332910e-01 -3.180391e-05 -3.784973e-01 -1.502728e+00  3.567116e-01 -3.389260e-01 -1.396622e+00 -1.074590e+00
7.451267e-01 -2.573226e-05 -3.484840e-01 -1.491312e+00  3.493006e-01 -3.132868e-01 -1.385711e+00 -1.062280e+00
7.557510e-01 -2.098730e-05 -3.235444e-01 -1.479734e+00  3.422706e-01 -2.919190e-01 -1.374978e+00 -1.051166e+00
7.651927e-01 -1.697434e-05 -3.028611e-01 -1.468480e+00  3.357516e-01 -2.741495e-01 -1.364758e+00 -1.041249e+00
7.734947e-01 -1.364955e-05 -2.857549e-01 -1.457894e+00  3.298268e-01 -2.594165e-01 -1.355283e+00 -1.032505e+00
7.807123e-01 -1.114490e-05 -2.716598e-01 -1.448205e+00  3.245413e-01 -2.472501e-01 -1.346701e+00 -1.024890e+00
7.869114e-01 -9.501032e-06 -2.601032e-01 -1.439545e+00  3.199092e-01 -2.372552e-01 -1.339091e+00 -1.018342e+00
7.921662e-01 -8.586863e-06 -2.506880e-01 -1.431975e+00  3.159199e-01 -2.290987e-01 -1.332477e+00 -1.012788e+00
7.965576e-01 -8.159354e-06 -2.430787e-01 -1.425495e+00  3.125446e-01 -2.224971e-01 -1.326840e+00 -1.008145e+00
8.001706e-01 -7.967977e-06 -2.369895e-01 -1.420064e+00  3.097406e-01 -2.172079e-01 -1.322131e+00 -1.004325e+00
8.030926e-01 -7.830729e-06 -2.321754e-01 -1.415607e+00  3.074559e-01 -2.130222e-01 -1.318278e+00 -1.001236e+00
8.054110e-01 -7.657176e-06 -2.284247e-01 -1.412031e+00  3.056326e-01 -2.097584e-01 -1.315192e+00 -9.987845e-01
8.072115e-01 -7.430846e-06 -2.255533e-01 -1.409231e+00  3.042105e-01 -2.072581e-01 -1.312779e+00 -9.968811e-01
8.085761e-01 -7.175727e-06 -2.234008e-01 -1.407096e+00  3.031291e-01 -2.053830e-01 -1.310941e+00 -9.954386e-01
8.095818e-01 -6.926377e-06 -2.218274e-01 -1.405514e+00  3.023302e-01 -2.040118e-01 -1.309580e+00 -9.943755e-01
8.102992e-01 -6.710056e-06 -2.207117e-01 -1.404382e+00  3.017593e-01 -2.030392e-01 -1.308607e+00 -9.936172e-01
8.107917e-01 -6.540533e-06 -2.199491e-01 -1.403604e+00  3.013669e-01 -2.023743e-01 -1.307938e+00 -9.930967e-01
8.111144e-01 -6.419361e-06 -2.194508e-01 -1.403093e+00  3.011097e-01 -2.019398e-01 -1.307499e+00 -9.927557e-01
8.113140e-01 -6.340178e-06 -2.191432e-01 -1.402776e+00  3.009504e-01 -2.016716e-01 -1.307228e+00 -9.925448e-01
8.114287e-01 -6.293137e-06 -2.189665e-01 -1.402594e+00  3.008589e-01 -2.015175e-01 -1.307071e+00 -9.924235e-01
8.114887e-01 -6.268129e-06 -2.188743e-01 -1.402499e+00  3.008110e-01 -2.014371e-01 -1.306990e+00 -9.923602e-01
8.115160e-01 -6.256598e-06 -2.188322e-01 -1.402456e+00  3.007892e-01 -2.014003e-01 -1.306952e+00 -9.923312e-01
8.115263e-01 -6.252256e-06 -2.188164e-01 -1.402440e+00  3.007810e-01 -2.013865e-01 -1.306938e+00 -9.923204e-01
8.115291e-01 -6.251073e-06 -2.188121e-01 -1.402435e+00  3.007788e-01 -2.013828e-01 -1.306934e+00 -9.923174e-01
8.115295e-01 -6.250899e-06 -2.188115e-01 -1.402435e+00  3.007784e-01 -2.013822e-01 -1.306934e+00 -9.923170e-01
8.115296e-01 -6.250888e-06 -2.188114e-01 -1.402434e+00  3.007784e-01 -2.013822e-01 -1.306934e+00 -9.923169e-01
8.115308e-01 -6.250726e-06 -2.188094e-01 -1.402432e+00  3.007774e-01 -2.013805e-01 -1.306932e+00 -9.923156e-01
8.115394e-01 -6.249628e-06 -2.187963e-01 -1.402419e+00  3.007705e-01 -2.013690e-01 -1.306920e+00 -9.923066e-01
8.115709e-01 -6.245593e-06 -2.187479e-01 -1.402369e+00  3.007454e-01 -2.013268e-01 -1.306878e+00 -9.922733e-01
8.116547e-01 -6.234849e-06 -2.186190e-01 -1.402236e+00  3.006785e-01 -2.012144e-01 -1.306763e+00 -9.921847e-01
8.118383e-01 -6.211400e-06 -2.183371e-01 -1.401944e+00  3.005319e-01 -2.009685e-01 -1.306513e+00 -9.919907e-01
8.121899e-01 -6.166726e-06 -2.177981e-01 -1.401385e+00  3.002510e-01 -2.004984e-01 -1.306033e+00 -9.916191e-01
8.128014e-01 -6.089772e-06 -2.168639e-01 -1.400411e+00  2.997620e-01 -1.996834e-01 -1.305197e+00 -9.909730e-01
8.137899e-01 -5.967337e-06 -2.153621e-01 -1.398832e+00  2.989702e-01 -1.983729e-01 -1.303843e+00 -9.899284e-01
8.152987e-01 -5.785071e-06 -2.130897e-01 -1.396411e+00  2.977590e-01 -1.963891e-01 -1.301767e+00 -9.883344e-01
8.174968e-01 -5.529203e-06 -2.098215e-01 -1.392861e+00  2.959885e-01 -1.935345e-01 -1.298728e+00 -9.860126e-01
8.205780e-01 -5.189029e-06 -2.053237e-01 -1.387840e+00  2.934950e-01 -1.896025e-01 -1.294434e+00 -9.827592e-01
8.247587e-01 -4.759975e-06 -1.993731e-01 -1.380947e+00  2.900911e-01 -1.843946e-01 -1.288551e+00 -9.783473e-01
8.302747e-01 -4.246666e-06 -1.917825e-01 -1.371716e+00  2.855657e-01 -1.777409e-01 -1.280692e+00 -9.725313e-01
8.373776e-01 -3.665128e-06 -1.824285e-01 -1.359616e+00  2.796855e-01 -1.695248e-01 -1.270419e+00 -9.650525e-01
8.463297e-01 -3.043004e-06 -1.712807e-01 -1.344055e+00  2.721986e-01 -1.597076e-01 -1.257247e+00 -9.556465e-01
8.573988e-01 -2.416903e-06 -1.584265e-01 -1.324384e+00  2.628408e-01 -1.483499e-01 -1.240651e+00 -9.440531e-01
8.708525e-01 -1.826710e-06 -1.440855e-01 -1.299930e+00  2.513467e-01 -1.356263e-01 -1.220083e+00 -9.300278e-01
8.869516e-01 -1.307932e-06 -1.286096e-01 -1.270027e+00  2.374653e-01 -1.218259e-01 -1.195003e+00 -9.133563e-01
9.059434e-01 -8.843425e-07 -1.124639e-01 -1.234079e+00  2.209823e-01 -1.073394e-01 -1.164919e+00 -8.938708e-01
9.280559e-01 -5.636551e-07 -9.618895e-02 -1.191628e+00  2.017464e-01 -9.262891e-02 -1.129439e+00 -8.714668e-01
9.534907e-01 -3.380988e-07 -8.034833e-02 -1.142432e+00  1.796980e-01 -7.818547e-02 -1.088331e+00 -8.461205e-01
9.824170e-01 -1.896519e-07 -6.546931e-02 -1.086547e+00  1.548969e-01 -6.447925e-02 -1.041581e+00 -8.179019e-01
1.014966e+00 -9.739964e-08 -5.198755e-02 -1.024378e+00  1.275427e-01 -5.191191e-02 -9.894345e-01 -7.869846e-01
1.051227e+00 -4.347927e-08 -4.020609e-02 -9.567045e-01  9.798464e-02 -4.077905e-02 -9.324238e-01 -7.536472e-01
1.091241e+00 -1.524045e-08 -3.027598e-02 -8.846648e-01  6.671544e-02 -3.124952e-02 -8.713603e-01 -7.182657e-01
1.134999e+00 -3.907387e-09 -2.220061e-02 -8.096880e-01  3.434870e-02 -2.336424e-02 -8.072956e-01 -6.812984e-01
1.182440e+00 -2.241948e-09 -1.586021e-02 -7.333929e-01  1.581516e-03 -1.705238e-02 -7.414545e-01 -6.432617e-01
1.233448e+00 -3.744469e-09 -1.104894e-02 -6.574614e-01 -3.085349e-02 -1.215981e-02 -6.751465e-01 -6.047023e-01
1.287854e+00 -3.862039e-09 -7.515630e-03 -5.835062e-01 -6.224003e-02 -8.482375e-03 -6.096713e-01 -5.661664e-01
1.345437e+00 -1.444054e-09 -5.000056e-03 -5.129548e-01 -9.192704e-02 -5.797607e-03 -5.462290e-01 -5.281724e-01
1.405925e+00  1.616606e-09 -3.260123e-03 -4.469623e-01 -1.193686e-01 -3.890022e-03 -4.858484e-01 -4.911868e-01
1.468998e+00  2.766247e-09 -2.088136e-03 -3.863622e-01 -1.441507e-01 -2.567923e-03 -4.293386e-01 -4.556074e-01
1.534295e+00  1.299963e-09 -1.317274e-03 -3.316560e-01 -1.660037e-01 -1.671863e-03 -3.772679e-01 -4.217534e-01
1.601419e+00 -1.121609e-09 -8.207652e-04 -2.830350e-01 -1.848008e-01 -1.076381e-03 -3.299661e-01 -3.898620e-01
1.669940e+00 -2.195921e-09 -5.066849e-04 -2.404257e-01 -2.005455e-01 -6.872652e-04 -2.875465e-01 -3.600910e-01
1.739407e+00 -1.127853e-09 -3.109591e-04 -2.035482e-01 -2.133506e-01 -4.365137e-04 -2.499401e-01 -3.325255e-01
1.809349e+00  8.323849e-10 -1.903866e-04 -1.719778e-01 -2.234137e-01 -2.766585e-04 -2.169367e-01 -3.071879e-01
1.879292e+00  1.784636e-09 -1.166687e-04 -1.452022e-01 -2.309916e-01 -1.755049e-04 -1.882264e-01 -2.840486e-01
1.948758e+00  9.900809e-10 -7.175388e-05 -1.226707e-01 -2.363764e-01 -1.117583e-04 -1.634372e-01 -2.630378e-01
2.017280e+00 -6.156717e-10 -4.440169e-05 -1.038314e-01 -2.398746e-01 -7.163387e-05 -1.421677e-01 -2.440563e-01
2.084403e+00 -1.492800e-09 -2.773712e-05 -8.815870e-02 -2.417911e-01 -4.635424e-05 -1.240119e-01 -2.269850e-01
2.149701e+00 -9.500654e-10 -1.757766e-05 -7.517009e-02 -2.424161e-01 -3.038254e-05 -1.085780e-01 -2.116933e-01
2.212774e+00  3.733403e-10 -1.135964e-05 -6.443509e-02 -2.420177e-01 -2.023501e-05 -9.550028e-02 -1.980455e-01
2.273262e+00  1.256257e-09 -7.501867e-06 -5.557829e-02 -2.408360e-01 -1.372246e-05 -8.444640e-02 -1.859059e-01
2.330845e+00  1.012352e-09 -5.046030e-06 -4.827806e-02 -2.390814e-01 -9.480071e-06 -7.512034e-02 -1.751425e-01
2.385251e+00 -3.335205e-11 -3.438895e-06 -4.226277e-02 -2.369339e-01 -6.670790e-06 -6.726271e-02 -1.656293e-01
