376 3
 0 0 1
 2 2 1
 -6.502185e+00 -3.053774e-01 -1.000419e-01
3.885747e+01 -6.820075e-15 -1.557360e-09 -6.656001e-10
3.910135e+01 -2.446693e-15 -1.213578e-09 -5.099212e-10
3.930515e+01  2.844260e-15 -5.205396e-10 -4.246498e-10
3.947283e+01  7.298203e-15  2.091168e-10 -3.730110e-10
3.960844e+01  9.944395e-15  7.559553e-10 -3.293450e-10
3.971604e+01  1.064200e-14  1.035631e-09 -2.817737e-10
3.979960e+01  9.812301e-15  1.072036e-09 -2.290461e-10
3.986293e+01  8.095470e-15  9.441362e-10 -1.753596e-10
3.990960e+01  6.087789e-15  7.389063e-10 -1.259620e-10
3.994290e+01  4.209561e-15  5.239846e-10 -8.464465e-11
3.996576e+01  2.682552e-15  3.392920e-10 -5.298563e-11
3.998073e+01  1.569741e-15  2.005288e-10 -3.066715e-11
3.999000e+01  8.348534e-16  1.072877e-10 -1.620419e-11
3.999532e+01  3.957686e-16  5.103208e-11 -7.653712e-12
3.999810e+01  1.616333e-16  2.087797e-11 -3.119929e-12
3.999937e+01  5.352782e-17  6.919593e-12 -1.032340e-12
3.999985e+01  1.279061e-17  1.653945e-12 -2.466016e-13
3.999998e+01  1.691791e-18  2.187818e-13 -3.261471e-14
4.000000e+01  5.300028e-20  6.854060e-15 -1.021738e-15
