376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
8.116547e-01 -7.774856e-04 -8.262029e-01 -4.918970e-01 -7.593662e-01 -3.889080e-01
8.118383e-01 -7.754704e-04 -8.255789e-01 -4.921615e-01 -7.588315e-01 -3.890907e-01
8.121899e-01 -7.716254e-04 -8.243852e-01 -4.926674e-01 -7.578085e-01 -3.894402e-01
8.128014e-01 -7.649833e-04 -8.223128e-01 -4.935451e-01 -7.560326e-01 -3.900466e-01
8.137899e-01 -7.543663e-04 -8.189732e-01 -4.949580e-01 -7.531702e-01 -3.910232e-01
8.152987e-01 -7.384450e-04 -8.139007e-01 -4.971003e-01 -7.488220e-01 -3.925049e-01
8.174968e-01 -7.158493e-04 -8.065642e-01 -5.001909e-01 -7.425316e-01 -3.946445e-01
8.205780e-01 -6.853350e-04 -7.963860e-01 -5.044627e-01 -7.338018e-01 -3.976058e-01
8.247587e-01 -6.460024e-04 -7.827713e-01 -5.101469e-01 -7.221188e-01 -4.015540e-01
8.302747e-01 -5.975425e-04 -7.651470e-01 -5.174522e-01 -7.069851e-01 -4.066419e-01
8.373776e-01 -5.404646e-04 -7.430098e-01 -5.265386e-01 -6.879589e-01 -4.129933e-01
8.463297e-01 -4.762423e-04 -7.159807e-01 -5.374874e-01 -6.646998e-01 -4.206846e-01
8.573988e-01 -4.073097e-04 -6.838608e-01 -5.502712e-01 -6.370148e-01 -4.297243e-01
8.708525e-01 -3.368587e-04 -6.466831e-01 -5.647239e-01 -6.049015e-01 -4.400352e-01
8.869516e-01 -2.684397e-04 -6.047512e-01 -5.805195e-01 -5.685803e-01 -4.514391e-01
9.059434e-01 -2.054340e-04 -5.586581e-01 -5.971609e-01 -5.285112e-01 -4.636490e-01
9.280559e-01 -1.505242e-04 -5.092763e-01 -6.139848e-01 -4.853875e-01 -4.762705e-01
9.534907e-01 -1.053115e-04 -4.577176e-01 -6.301864e-01 -4.401059e-01 -4.888139e-01
9.824170e-01 -7.018468e-05 -4.052615e-01 -6.448627e-01 -3.937117e-01 -5.007183e-01
1.014966e+00 -4.446183e-05 -3.532598e-01 -6.570746e-01 -3.473257e-01 -5.113855e-01
1.051227e+00 -2.672793e-05 -3.030289e-01 -6.659199e-01 -3.020600e-01 -5.202222e-01
1.091241e+00 -1.523585e-05 -2.557448e-01 -6.706104e-01 -2.589346e-01 -5.266840e-01
1.134999e+00 -8.249988e-06 -2.123560e-01 -6.705421e-01 -2.188052e-01 -5.303189e-01
1.182440e+00 -4.269412e-06 -1.735258e-01 -6.653505e-01 -1.823131e-01 -5.308021e-01
1.233448e+00 -2.131375e-06 -1.396111e-01 -6.549412e-01 -1.498596e-01 -5.279606e-01
1.287854e+00 -1.027376e-06 -1.106762e-01 -6.394945e-01 -1.216086e-01 -5.217829e-01
1.345437e+00 -4.622784e-07 -8.653567e-02 -6.194416e-01 -9.751080e-02 -5.124143e-01
1.405925e+00 -1.759807e-07 -6.681438e-02 -5.954193e-01 -7.734459e-02 -5.001379e-01
1.468998e+00 -4.807424e-08 -5.101508e-02 -5.682080e-01 -6.076511e-02 -4.853460e-01
1.534295e+00 -1.467589e-08 -3.858182e-02 -5.386646e-01 -4.735356e-02 -4.685048e-01
1.601419e+00 -2.359191e-08 -2.895297e-02 -5.076573e-01 -3.666145e-02 -4.501179e-01
1.669940e+00 -3.118718e-08 -2.160009e-02 -4.760090e-01 -2.824593e-02 -4.306918e-01
1.739407e+00 -1.791289e-08 -1.605227e-02 -4.444561e-01 -2.169477e-02 -4.107079e-01
1.809349e+00  6.870472e-09 -1.190771e-02 -4.136209e-01 -1.664144e-02 -3.906014e-01
1.879292e+00  2.124873e-08 -8.835536e-03 -3.839997e-01 -1.277186e-02 -3.707471e-01
