376 6
 0 0 0 0 1 1
 2 2 2 1 6 6
 -1.283309e+02 -1.277542e+01 -1.233137e+00 -6.446058e-02 -1.021911e+01 -6.466367e-01
1.233448e+00  9.844634e-08  5.052399e-02  7.650855e-01 -1.120136e-01 -5.506273e-02 -7.116479e-01
1.287854e+00  5.274516e-08  3.750781e-02  7.138199e-01 -9.357329e-02 -4.188305e-02 -6.736517e-01
1.345437e+00  2.084666e-08  2.736403e-02  6.605331e-01 -7.454286e-02 -3.136463e-02 -6.335078e-01
1.405925e+00 -3.301412e-09  1.964982e-02  6.064991e-01 -5.532545e-02 -2.315798e-02 -5.920867e-01
1.468998e+00 -1.311698e-08  1.391413e-02  5.529288e-01 -3.631080e-02 -1.688715e-02 -5.502557e-01
1.534295e+00 -7.014679e-09  9.735778e-03  5.008939e-01 -1.785171e-02 -1.218514e-02 -5.088227e-01
1.601419e+00  5.634760e-09  6.746585e-03  4.512752e-01 -2.468709e-04 -8.718045e-03 -4.684955e-01
1.669940e+00  1.192539e-08  4.641371e-03  4.047376e-01  1.626914e-02 -6.198356e-03 -4.298552e-01
1.739407e+00  6.689670e-09  3.178025e-03  3.617285e-01  3.152919e-02 -4.389325e-03 -3.933457e-01
1.809349e+00 -3.969358e-09  2.171426e-03  3.224952e-01  4.543128e-02 -3.103138e-03 -3.592756e-01
1.879292e+00 -9.701792e-09  1.484373e-03  2.871126e-01  5.793215e-02 -2.195380e-03 -3.278293e-01
1.948758e+00 -5.906838e-09  1.017818e-03  2.555180e-01  6.903833e-02 -1.557884e-03 -2.990840e-01
2.017280e+00  2.830404e-09  7.018100e-04  2.275461e-01  7.879606e-02 -1.111385e-03 -2.730295e-01
2.084403e+00  8.091309e-09  4.878119e-04  2.029615e-01  8.728112e-02 -7.988156e-04 -2.495883e-01
2.149701e+00  5.634326e-09  3.425954e-04  1.814871e-01  9.458944e-02 -5.796668e-04 -2.286347e-01
2.212774e+00 -1.498877e-09  2.436356e-04  1.628267e-01  1.008288e-01 -4.254856e-04 -2.100106e-01
2.273262e+00 -6.688106e-09  1.757704e-04  1.466817e-01  1.061122e-01 -3.164461e-04 -1.935397e-01
2.330845e+00 -5.850969e-09  1.288484e-04  1.327641e-01  1.105523e-01 -2.388123e-04 -1.790377e-01
2.385251e+00 -3.679610e-10  9.609809e-05  1.208037e-01  1.142576e-01 -1.831014e-04 -1.663210e-01
2.436259e+00  4.942565e-09  7.300595e-05  1.105531e-01  1.173296e-01 -1.427742e-04 -1.552118e-01
2.483700e+00  6.130485e-09  5.655257e-05  1.017896e-01  1.198615e-01 -1.133132e-04 -1.455422e-01
2.527458e+00  2.860998e-09  4.470161e-05  9.431553e-02  1.219366e-01 -9.158416e-05 -1.371563e-01
2.567472e+00 -2.069394e-09  3.606671e-05  8.795699e-02  1.236287e-01 -7.540077e-05 -1.299111e-01
2.603732e+00 -5.275878e-09  2.969790e-05  8.256235e-02  1.250022e-01 -6.322976e-05 -1.236769e-01
2.636282e+00 -5.079142e-09  2.494319e-05  7.799999e-02  1.261121e-01 -5.399111e-05 -1.183368e-01
2.665208e+00 -2.110927e-09  2.135507e-05  7.415600e-02  1.270055e-01 -4.692036e-05 -1.137858e-01
2.690643e+00  1.635258e-09  1.862475e-05  7.093188e-02  1.277216e-01 -4.147235e-05 -1.099299e-01
2.712755e+00  4.238758e-09  1.653574e-05  6.824243e-02  1.282935e-01 -3.725400e-05 -1.066846e-01
2.731747e+00  4.789640e-09  1.493237e-05  6.601371e-02  1.287482e-01 -3.397779e-05 -1.039746e-01
2.747846e+00  3.500522e-09  1.369981e-05  6.418134e-02  1.291081e-01 -3.143025e-05 -1.017318e-01
2.761300e+00  1.245704e-09  1.275180e-05  6.268900e-02  1.293911e-01 -2.945081e-05 -9.989496e-02
2.772369e+00 -1.022928e-09  1.202324e-05  6.148713e-02  1.296123e-01 -2.791737e-05 -9.840887e-02
2.781321e+00 -2.663786e-09  1.146494e-05  6.053196e-02  1.297835e-01 -2.673615e-05 -9.722335e-02
2.788424e+00 -3.452302e-09  1.103975e-05  5.978464e-02  1.299145e-01 -2.583429e-05 -9.629300e-02
2.793940e+00 -3.487334e-09  1.071929e-05  5.921063e-02  1.300134e-01 -2.515439e-05 -9.557671e-02
2.798121e+00 -3.025779e-09  1.048151e-05  5.877925e-02  1.300866e-01 -2.465047e-05 -9.503742e-02
2.801202e+00 -2.340458e-09  1.030880e-05  5.846332e-02  1.301397e-01 -2.428512e-05 -9.464192e-02
2.803400e+00 -1.639627e-09  1.018679e-05  5.823898e-02  1.301771e-01 -2.402752e-05 -9.436079e-02
2.804909e+00 -1.043997e-09  1.010358e-05  5.808548e-02  1.302025e-01 -2.385213e-05 -9.416831e-02
2.805897e+00 -5.991360e-10  1.004928e-05  5.798514e-02  1.302191e-01 -2.373784e-05 -9.404242e-02
2.806509e+00 -3.012093e-10  1.001578e-05  5.792315e-02  1.302293e-01 -2.366738e-05 -9.396463e-02
2.806861e+00 -1.217934e-10  9.996550e-06  5.788754e-02  1.302351e-01 -2.362696e-05 -9.391993e-02
2.807044e+00 -2.571828e-11  9.986516e-06  5.786896e-02  1.302382e-01 -2.360587e-05 -9.389661e-02
2.807128e+00  1.873352e-11  9.981933e-06  5.786047e-02  1.302396e-01 -2.359624e-05 -9.388595e-02
2.807159e+00  3.549902e-11  9.980215e-06  5.785728e-02  1.302401e-01 -2.359263e-05 -9.388195e-02
2.807168e+00  4.006816e-11  9.979747e-06  5.785642e-02  1.302402e-01 -2.359165e-05 -9.388086e-02
2.807169e+00  4.074286e-11  9.979678e-06  5.785629e-02  1.302403e-01 -2.359151e-05 -9.388070e-02
2.807169e+00  4.076461e-11  9.979668e-06  5.785627e-02  1.302403e-01 -2.359149e-05 -9.388068e-02
2.807174e+00  4.076237e-11  9.979434e-06  5.785582e-02  1.302403e-01 -2.359098e-05 -9.388012e-02
2.807204e+00  4.074720e-11  9.977847e-06  5.785280e-02  1.302408e-01 -2.358759e-05 -9.387633e-02
2.807313e+00  4.069144e-11  9.972017e-06  5.784169e-02  1.302427e-01 -2.357510e-05 -9.386238e-02
2.807606e+00  4.054311e-11  9.956492e-06  5.781210e-02  1.302475e-01 -2.354185e-05 -9.382522e-02
