376 5
 0 0 0 1 1
 2 2 2 6 1
 -5.508056e+01 -3.877979e+00 -2.513400e-01 -2.507294e+00 -7.177563e-02
1.051227e+00 -3.663451e-04 -5.712324e-01 -2.414357e-01 -5.576834e-01 -1.326739e-01
1.091241e+00 -2.336916e-04 -5.056704e-01 -2.660805e-01 -5.007307e-01 -1.484902e-01
1.134999e+00 -1.430696e-04 -4.423392e-01 -2.892615e-01 -4.451548e-01 -1.638611e-01
1.182440e+00 -8.415685e-05 -3.824312e-01 -3.103655e-01 -3.919328e-01 -1.784617e-01
1.233448e+00 -4.764517e-05 -3.269051e-01 -3.288755e-01 -3.418818e-01 -1.920038e-01
1.287854e+00 -2.601003e-05 -2.764419e-01 -3.444009e-01 -2.956240e-01 -2.042495e-01
1.345437e+00 -1.370884e-05 -2.314314e-01 -3.566943e-01 -2.535711e-01 -2.150206e-01
1.405925e+00 -6.980808e-06 -1.919876e-01 -3.656553e-01 -2.159280e-01 -2.242026e-01
1.468998e+00 -3.445287e-06 -1.579858e-01 -3.713223e-01 -1.827127e-01 -2.317438e-01
1.534295e+00 -1.669071e-06 -1.291144e-01 -3.738552e-01 -1.537878e-01 -2.376503e-01
1.601419e+00 -8.142425e-07 -1.049318e-01 -3.735117e-01 -1.288974e-01 -2.419790e-01
1.669940e+00 -4.055284e-07 -8.492111e-02 -3.706210e-01 -1.077052e-01 -2.448282e-01
1.739407e+00 -1.948402e-07 -6.853728e-02 -3.655571e-01 -8.982913e-02 -2.463280e-01
1.809349e+00 -7.580318e-08 -5.524369e-02 -3.587143e-01 -7.487103e-02 -2.466305e-01
1.879292e+00 -1.557020e-08 -4.453797e-02 -3.504866e-01 -6.243899e-02 -2.459010e-01
1.948758e+00 -1.096515e-09 -3.596767e-02 -3.412495e-01 -5.216348e-02 -2.443091e-01
2.017280e+00 -1.200747e-08 -2.913767e-02 -3.313485e-01 -4.370735e-02 -2.420224e-01
2.084403e+00 -2.262634e-08 -2.371150e-02 -3.210901e-01 -3.677106e-02 -2.392004e-01
2.149701e+00 -1.761324e-08 -1.940845e-02 -3.107374e-01 -3.109416e-02 -2.359903e-01
2.212774e+00 -3.699311e-10 -1.599825e-02 -3.005094e-01 -2.645411e-02 -2.325249e-01
2.273262e+00  1.429125e-08 -1.329461e-02 -2.905820e-01 -2.266353e-02 -2.289201e-01
2.330845e+00  1.513264e-08 -1.114842e-02 -2.810912e-01 -1.956648e-02 -2.252752e-01
