376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
8.115308e-01 -1.925439e-02 -1.287011e+00  1.326214e-01 -1.152337e+00
8.115394e-01 -1.925281e-02 -1.286987e+00  1.326156e-01 -1.152317e+00
8.115709e-01 -1.924699e-02 -1.286902e+00  1.325939e-01 -1.152245e+00
8.116547e-01 -1.923150e-02 -1.286674e+00  1.325363e-01 -1.152051e+00
8.118383e-01 -1.919764e-02 -1.286175e+00  1.324101e-01 -1.151628e+00
8.121899e-01 -1.913295e-02 -1.285219e+00  1.321685e-01 -1.150819e+00
8.128014e-01 -1.902096e-02 -1.283559e+00  1.317487e-01 -1.149412e+00
8.137899e-01 -1.884132e-02 -1.280878e+00  1.310706e-01 -1.147141e+00
8.152987e-01 -1.857043e-02 -1.276793e+00  1.300375e-01 -1.143684e+00
8.174968e-01 -1.818279e-02 -1.270859e+00  1.285361e-01 -1.138666e+00
8.205780e-01 -1.765310e-02 -1.262576e+00  1.264390e-01 -1.131669e+00
8.247587e-01 -1.695917e-02 -1.251399e+00  1.236077e-01 -1.122242e+00
8.302747e-01 -1.608549e-02 -1.236765e+00  1.198972e-01 -1.109924e+00
8.373776e-01 -1.502691e-02 -1.218111e+00  1.151615e-01 -1.094261e+00
8.463297e-01 -1.379212e-02 -1.194905e+00  1.092614e-01 -1.074833e+00
8.573988e-01 -1.240567e-02 -1.166685e+00  1.020724e-01 -1.051288e+00
8.708525e-01 -1.090809e-02 -1.133098e+00  9.349487e-02 -1.023369e+00
8.869516e-01 -9.353269e-03 -1.093935e+00  8.346330e-02 -9.909433e-01
9.059434e-01 -7.803265e-03 -1.049176e+00  7.195649e-02 -9.540293e-01
9.280559e-01 -6.321083e-03 -9.990170e-01  5.900579e-02 -9.128136e-01
9.534907e-01 -4.962858e-03 -9.438920e-01  4.470115e-02 -8.676576e-01
9.824170e-01 -3.771062e-03 -8.844728e-01  2.919348e-02 -8.190918e-01
1.014966e+00 -2.770249e-03 -8.216516e-01  1.269261e-02 -7.677965e-01
1.051227e+00 -1.966130e-03 -7.565003e-01 -4.539981e-03 -7.145690e-01
1.091241e+00 -1.347901e-03 -6.902109e-01 -2.220302e-02 -6.602809e-01
1.134999e+00 -8.928510e-04 -6.240230e-01 -3.997136e-02 -6.058299e-01
1.182440e+00 -5.718936e-04 -5.591455e-01 -5.751414e-02 -5.520899e-01
1.233448e+00 -3.546676e-04 -4.966834e-01 -7.451338e-02 -4.998654e-01
1.287854e+00 -2.133330e-04 -4.375774e-01 -9.068103e-02 -4.498553e-01
1.345437e+00 -1.247304e-04 -3.825618e-01 -1.057728e-01 -4.026267e-01
1.405925e+00 -7.107017e-05 -3.321453e-01 -1.195979e-01 -3.586021e-01
1.468998e+00 -3.958375e-05 -2.866112e-01 -1.320238e-01 -3.180580e-01
1.534295e+00 -2.162792e-05 -2.460366e-01 -1.429763e-01 -2.811335e-01
1.601419e+00 -1.164073e-05 -2.103230e-01 -1.524364e-01 -2.478460e-01
1.669940e+00 -6.198036e-06 -1.792344e-01 -1.604329e-01 -2.181122e-01
1.739407e+00 -3.275220e-06 -1.524367e-01 -1.670348e-01 -1.917703e-01
1.809349e+00 -1.720447e-06 -1.295353e-01 -1.723406e-01 -1.686023e-01
1.879292e+00 -9.005658e-07 -1.101073e-01 -1.764701e-01 -1.483545e-01
1.948758e+00 -4.743063e-07 -9.372700e-02 -1.795550e-01 -1.307547e-01
2.017280e+00 -2.563924e-07 -7.998536e-02 -1.817316e-01 -1.155270e-01
2.084403e+00 -1.441806e-07 -6.850259e-02 -1.831351e-01 -1.024021e-01
2.149701e+00 -8.219827e-08 -5.893562e-02 -1.838946e-01 -9.112491e-02
2.212774e+00 -4.429915e-08 -5.098129e-02 -1.841304e-01 -8.146003e-02
2.273262e+00 -2.115882e-08 -4.437643e-02 -1.839517e-01 -7.319383e-02
2.330845e+00 -9.823008e-09 -3.889587e-02 -1.834558e-01 -6.613562e-02
2.385251e+00 -7.085471e-09 -3.434919e-02 -1.827275e-01 -6.011726e-02
2.436259e+00 -8.047670e-09 -3.057683e-02 -1.818400e-01 -5.499200e-02
2.483700e+00 -8.198058e-09 -2.744606e-02 -1.808544e-01 -5.063275e-02
2.527458e+00 -5.688382e-09 -2.484705e-02 -1.798216e-01 -4.693013e-02
2.567472e+00 -1.580069e-09 -2.268931e-02 -1.787823e-01 -4.379041e-02
